season,player_name,team,role,batting_avg,batting_sr,runs_scored,wickets,bowling_avg,economy
2010,CA Pujara,KKR,Bat,30.5,106.08695652173914,122.0,0.0,0.0,0.0
2010,CH Gayle,KKR,All,32.44444444444444,158.69565217391303,292.0,4.0,34.5,8.625
2010,CK Langeveldt,KKR,Bowl,0.0,0.0,0.0,5.0,16.8,7.636363636363637
2010,CRD Fernando,MI,Bowl,0.0,0.0,0.0,7.0,17.857142857142858,6.578947368421052
2010,DA Warner,DC,Bat,28.2,147.64397905759162,282.0,0.0,0.0,0.0
2010,DE Bollinger,CSK,Bowl,0.0,0.0,0.0,12.0,16.5,6.387096774193548
2010,DJ Bravo,MI,All,8.714285714285714,115.09433962264151,61.0,4.0,55.75,8.522292993630574
2010,DJ Hussey,KKR,Bat,23.5,109.30232558139534,94.0,0.0,0.0,0.0
2010,DP Nannes,DC,Bowl,0.0,0.0,0.0,7.0,29.714285714285715,6.058252427184466
2010,DPMD Jayawardene,PBKS,Bat,40.45454545454545,148.33333333333334,445.0,0.0,0.0,0.0
2010,DW Steyn,RCB,Bowl,0.0,0.0,0.0,15.0,25.133333333333333,6.389830508474576
2010,FY Fazal,RR,Bat,20.5,106.49350649350649,164.0,0.0,0.0,0.0
2010,G Gambhir,DC,Bat,30.77777777777778,127.64976958525345,277.0,0.0,0.0,0.0
2010,HH Gibbs,DC_OLD,Bat,26.7,113.61702127659574,267.0,0.0,0.0,0.0
2010,Harbhajan Singh,MI,All,21.0,166.66666666666669,105.0,15.0,24.0,6.728971962616822
2010,Harmeet Singh,DC_OLD,Bowl,0.0,0.0,0.0,8.0,20.375,6.791666666666667
2010,I Sharma,KKR,Bowl,0.0,0.0,0.0,7.0,32.142857142857146,9.0
2010,IK Pathan,PBKS,All,34.5,148.38709677419354,276.0,15.0,27.6,8.93525179856115
2010,J Theron,PBKS,Bowl,0.0,0.0,0.0,8.0,23.375,7.530201342281879
2010,JA Morkel,CSK,All,24.875,150.75757575757575,199.0,11.0,35.63636363636363,8.223776223776223
2010,JD Unadkat,KKR,Bowl,0.0,0.0,0.0,4.0,21.25,8.225806451612902
2010,JH Kallis,RCB,All,47.666666666666664,115.78947368421053,572.0,13.0,35.69230769230769,8.140350877192983
2010,JM Kemp,CSK,Bowl,0.0,0.0,0.0,3.0,17.0,6.954545454545455
2010,JP Duminy,MI,Bat,31.4,119.84732824427482,157.0,0.0,0.0,0.0
